payment_id,invoice_id,payment_date,payment_amount,payment_method
PAY-256639,INV-949130,2020-11-01,4969582.0,Credit Card
PAY-414584,INV-802577,2022-04-14,103918.32,Bank Transfer
PAY-897991,INV-975372,2019-05-21,682444.13,UPI
PAY-482454,INV-700800,2020-06-18,52806.72,Credit Card
PAY-118793,INV-940006,2020-12-10,946716.2,Cheque
PAY-243935,INV-295210,2021-10-12,918403.6,Bank Transfer
PAY-967560,INV-147057,2022-01-20,1172687.0,Cash
PAY-882840,INV-334538,2023-08-01,272528.56,UPI
PAY-437455,INV-961603,2022-09-21,1178776.95,Bank Transfer
PAY-235674,INV-961603,2022-10-02,2796469.05,Bank Transfer
PAY-848014,INV-253296,2024-11-24,611714.4,Bank Transfer
PAY-909608,INV-585792,2022-06-10,648294.4,Cheque
PAY-683802,INV-426299,2022-09-13,3248945.0,Cash
PAY-870339,INV-693572,2023-06-07,3973.58,Credit Card
PAY-274399,INV-914904,2024-12-22,707309.6,Credit Card
PAY-899911,INV-411347,2019-07-06,74617.65,Credit Card
PAY-245855,INV-698098,2023-06-27,2877330.97,Bank Transfer
PAY-548537,INV-698098,2023-06-14,430854.53,Cash
PAY-346680,INV-698098,2023-07-11,10769.29,UPI
PAY-673857,INV-734161,2021-05-26,1858837.36,Cash
PAY-648795,INV-734161,2021-04-16,1349769.84,Bank Transfer
PAY-197620,INV-964300,2021-03-18,1155419.87,UPI
PAY-520424,INV-964300,2021-03-12,1305461.13,Bank Transfer
PAY-185442,INV-964300,2021-04-09,68076.99,Credit Card
PAY-772909,INV-102776,2021-04-07,638068.06,Cheque
PAY-671580,INV-102776,2021-03-10,177020.6,UPI
PAY-948760,INV-102776,2021-03-13,2858387.34,Cheque
PAY-636822,INV-127918,2020-07-14,1361776.04,Credit Card
PAY-577585,INV-577818,2024-12-19,100288.2,Bank Transfer
PAY-659220,INV-184254,2022-12-18,131397.72,Credit Card
PAY-394155,INV-586934,2021-10-28,1311426.0,UPI
PAY-580426,INV-616169,2020-01-29,209792.0,Credit Card
PAY-206957,INV-627222,2020-06-23,1630470.51,Cheque
PAY-689612,INV-627222,2020-07-08,1721630.29,Credit Card
PAY-104674,INV-677165,2023-05-24,788964.0,UPI
PAY-425992,INV-619125,2024-12-21,975978.4,Bank Transfer
PAY-952639,INV-953376,2024-09-23,5561559.0,Cash
PAY-467865,INV-260722,2020-04-01,691509.0,Cash
PAY-543884,INV-787139,2022-10-03,2063029.4,Credit Card
PAY-614666,INV-898377,2022-08-10,1684355.2,Credit Card
PAY-291696,INV-752600,2020-10-02,1533170.24,Cash
PAY-152998,INV-752600,2020-10-14,1755655.56,UPI
PAY-543378,INV-437984,2019-12-27,945729.26,Credit Card
PAY-579942,INV-411163,2019-05-20,380881.8,UPI
PAY-262603,INV-443757,2019-03-08,2099494.0,Credit Card
PAY-594317,INV-586996,2021-04-20,18127.54,Credit Card
PAY-855967,INV-957703,2024-08-11,253852.8,Cash
PAY-289699,INV-326761,2022-06-30,2762833.49,Credit Card
PAY-348493,INV-120199,2020-07-30,3977344.0,Credit Card
PAY-283334,INV-455926,2022-10-31,85019.17,Cash
PAY-196274,INV-778889,2023-08-15,1221102.2,Cheque
PAY-805204,INV-786715,2020-09-21,3510199.2,Credit Card
PAY-187085,INV-693655,2019-08-12,1202767.32,Cheque
PAY-663990,INV-717505,2020-12-08,351920.21,Cash
PAY-138866,INV-721046,2019-02-20,2086542.4,Cash
PAY-811462,INV-350383,2021-05-17,1152541.8,Credit Card
PAY-268403,INV-650874,2020-09-18,460416.0,Cheque
PAY-371358,INV-949587,2024-12-06,259671.79,UPI
PAY-902698,INV-991036,2022-01-12,853099.2,UPI
PAY-328094,INV-401121,2022-12-23,8555.0,UPI
PAY-626140,INV-163013,2024-12-20,1751015.0,Bank Transfer
PAY-795162,INV-772342,2019-05-17,81006.98,UPI
PAY-709266,INV-276594,2024-12-14,905695.68,Cash
PAY-587781,INV-442508,2021-10-01,610816.0,Bank Transfer
PAY-968198,INV-261967,2025-01-16,311445.74,Credit Card
PAY-896637,INV-708803,2024-07-06,2365249.6,Cheque
PAY-194403,INV-357271,2024-04-29,355473.6,Bank Transfer
PAY-216981,INV-973318,2023-06-09,1897886.28,Bank Transfer
PAY-441041,INV-284451,2023-09-14,1511808.0,Cheque
PAY-484624,INV-606345,2020-08-31,540963.43,Bank Transfer
PAY-667382,INV-419723,2022-09-13,1337986.39,Cheque
PAY-851339,INV-367357,2022-03-19,4242.51,Credit Card
PAY-878212,INV-389681,2019-03-07,522499.0,Cash
PAY-619078,INV-616489,2023-01-05,170126.41,Bank Transfer
PAY-372602,INV-616489,2022-12-15,726641.59,UPI
PAY-538848,INV-630691,2021-04-29,809582.1,Cash
PAY-130368,INV-716228,2024-05-15,157697.2,Credit Card
PAY-293706,INV-899491,2022-11-03,2285458.0,UPI
PAY-800359,INV-327740,2024-04-08,1486606.13,Bank Transfer
PAY-967971,INV-867649,2024-07-12,194688.0,Credit Card
PAY-178427,INV-412834,2019-10-23,587535.8,Cash
PAY-524001,INV-346851,2020-07-03,1062509.8,Cheque
PAY-854020,INV-727878,2020-11-23,2766484.6,Cheque
PAY-374314,INV-889049,2024-03-24,515038.33,Credit Card
PAY-740170,INV-522975,2024-06-12,1401385.0,UPI
PAY-750950,INV-123985,2023-07-01,1336931.6,Cheque
PAY-328496,INV-377481,2024-09-19,59994.18,Bank Transfer
PAY-733872,INV-377481,2024-10-20,127507.82,UPI
PAY-341574,INV-197644,2021-05-07,1546131.0,Cash
PAY-508016,INV-761932,2020-08-31,144373.0,Credit Card
PAY-384236,INV-334241,2020-01-13,765766.0,Cash
PAY-864004,INV-524826,2022-07-29,115151.45,UPI
PAY-641483,INV-123850,2022-08-16,1559858.08,Bank Transfer
PAY-884951,INV-221398,2019-03-27,1887954.8,UPI
PAY-332987,INV-895599,2023-05-02,1697452.91,Credit Card
PAY-739691,INV-985430,2024-04-20,244262.07,Cheque
PAY-458903,INV-985430,2024-03-11,747105.7,UPI
PAY-494983,INV-985430,2024-04-21,864407.43,Cheque
PAY-265045,INV-261578,2019-09-11,2532292.47,UPI
PAY-871319,INV-486262,2024-04-01,410002.73,Bank Transfer
PAY-829765,INV-339583,2020-09-23,909794.2,UPI
PAY-666123,INV-134878,2022-03-15,94031.96,Bank Transfer
PAY-497286,INV-153975,2023-06-13,16142.4,UPI
PAY-132552,INV-671462,2025-02-17,1615986.6,Bank Transfer
PAY-241345,INV-806455,2023-02-21,2460670.8,UPI
PAY-475064,INV-906166,2021-06-19,900352.0,Bank Transfer
PAY-726998,INV-986320,2022-11-30,2267138.6,UPI
PAY-238864,INV-231120,2021-08-14,2728340.8,UPI
PAY-114908,INV-483476,2021-01-02,420250.11,UPI
PAY-814746,INV-483476,2020-12-09,787412.6,Cheque
PAY-899223,INV-483476,2021-01-20,1306970.69,Credit Card
PAY-787384,INV-902673,2021-08-19,3755466.6,Bank Transfer
PAY-774342,INV-392349,2021-07-13,1204191.2,Cheque
PAY-924146,INV-178352,2020-12-24,710414.8,Cash
PAY-320176,INV-820114,2024-05-31,2465945.03,UPI
PAY-352568,INV-820114,2024-06-06,217938.17,Bank Transfer
PAY-886702,INV-230503,2020-08-10,2115908.4,Cash
PAY-963214,INV-931890,2020-03-01,192126.53,Cheque
PAY-461498,INV-714237,2024-09-30,62437.58,Credit Card
PAY-675169,INV-263204,2020-09-02,4638989.0,UPI
PAY-384632,INV-188578,2022-12-19,2312492.96,Cash
PAY-851529,INV-100160,2022-08-02,1599169.4,Cheque
PAY-408785,INV-651562,2021-12-14,704201.97,UPI
PAY-928163,INV-626646,2021-05-17,1043003.67,UPI
PAY-822757,INV-610685,2022-07-24,1971709.0,UPI
PAY-779699,INV-783790,2019-06-24,583942.36,Credit Card
PAY-254542,INV-783790,2019-07-28,433704.04,UPI
PAY-819234,INV-969422,2020-01-01,17110.0,Credit Card
PAY-512768,INV-924690,2019-05-25,120224.18,Bank Transfer
PAY-821281,INV-252644,2022-07-30,936832.0,Bank Transfer
PAY-498641,INV-629674,2023-04-06,2014174.9,Cheque
PAY-649431,INV-540122,2022-03-09,498779.4,Cheque
PAY-452977,INV-211913,2022-12-30,2784805.2,Credit Card
PAY-477965,INV-459565,2025-01-05,1859541.2,Cash
PAY-361305,INV-294135,2019-12-26,362304.49,Cheque
PAY-761194,INV-172542,2024-07-31,1176599.4,Cheque
PAY-579825,INV-943372,2020-07-07,867952.8,Cash
PAY-309344,INV-305012,2019-12-02,1100792.8,Cheque
PAY-908559,INV-224042,2022-06-07,575676.6,Credit Card
PAY-518077,INV-335767,2021-07-07,826145.4,Cash
PAY-146565,INV-574854,2021-08-20,1261485.2,Credit Card
PAY-257981,INV-453163,2023-08-08,3192498.0,Bank Transfer
PAY-375142,INV-163610,2024-06-07,3844184.8,UPI
PAY-974075,INV-916781,2021-06-23,2377542.4,Credit Card
PAY-537770,INV-460353,2022-07-07,2679153.4,Bank Transfer
PAY-243479,INV-190459,2023-09-29,155718.6,Cheque
PAY-345344,INV-370186,2021-06-18,820697.0,Credit Card
PAY-986846,INV-258680,2020-12-28,26844.45,UPI
PAY-162632,INV-661102,2020-08-20,1778164.87,Cheque
PAY-629303,INV-524025,2021-09-28,2436314.2,Bank Transfer
PAY-981404,INV-663590,2022-05-12,138179.63,Bank Transfer
PAY-867916,INV-210539,2019-06-20,349891.06,Bank Transfer
PAY-827436,INV-154351,2019-06-29,3764635.2,Bank Transfer
PAY-175885,INV-349844,2024-11-06,1090278.4,Cash
PAY-631848,INV-809898,2019-08-20,108160.0,Cash
PAY-932786,INV-702731,2023-07-12,1373436.2,Credit Card
PAY-879363,INV-155178,2022-12-30,2206095.8,Cheque
PAY-557118,INV-697554,2019-10-06,192104.4,Bank Transfer
PAY-927869,INV-587012,2020-02-28,354816.0,Credit Card
PAY-772281,INV-754788,2021-02-15,1502722.2,Credit Card
PAY-134579,INV-704618,2021-12-15,2415127.8,Credit Card
PAY-437931,INV-298866,2020-08-07,957815.8,Cash
PAY-886743,INV-499937,2021-04-27,1560947.8,Bank Transfer
PAY-858597,INV-888820,2019-12-10,533470.36,Cheque
PAY-211656,INV-229206,2024-12-18,432575.2,UPI
PAY-403286,INV-264313,2022-11-18,2946557.6,UPI
PAY-915023,INV-405142,2020-03-27,64841.0,Cash
PAY-858000,INV-973446,2023-07-18,1754708.0,Cash
PAY-625362,INV-979533,2021-05-16,1668292.55,UPI
PAY-826432,INV-979533,2021-05-03,481708.65,Cheque
PAY-771554,INV-166581,2019-06-16,714025.58,Cheque
PAY-868259,INV-166581,2019-06-21,579332.42,UPI
PAY-697657,INV-895312,2024-10-21,173056.0,Credit Card
PAY-767129,INV-508847,2023-06-16,551468.8,Cheque
PAY-558834,INV-382760,2020-08-25,681970.2,Cheque
PAY-185391,INV-943622,2021-12-21,389002.82,UPI
PAY-280520,INV-943622,2022-01-23,362183.8,Cheque
PAY-596369,INV-943622,2021-12-13,132948.58,Cheque
PAY-291486,INV-736491,2024-01-19,623274.4,UPI
PAY-537092,INV-422787,2022-01-21,1329010.49,Bank Transfer
PAY-568413,INV-422787,2022-02-11,1347499.51,Bank Transfer
PAY-689440,INV-340163,2019-09-12,2400839.18,Cash
PAY-909888,INV-886303,2024-07-11,859696.16,Bank Transfer
PAY-913054,INV-157458,2022-12-04,3320840.6,Cheque
PAY-728540,INV-977102,2023-10-03,788594.6,Cash
PAY-858216,INV-549463,2023-10-20,2636312.0,Cash
PAY-356134,INV-684405,2021-01-21,4531.2,Cheque
PAY-435113,INV-396963,2021-09-29,92189.4,Cheque
PAY-470374,INV-312540,2024-01-19,1616.12,Cheque
PAY-245783,INV-312540,2024-01-01,1121.48,UPI
PAY-492189,INV-727313,2021-12-28,192744.51,Cheque
PAY-826417,INV-727313,2022-01-28,16490.29,Credit Card
PAY-502888,INV-570704,2024-02-01,2540317.0,Credit Card
PAY-949887,INV-244183,2023-05-31,828826.4,Cash
PAY-268995,INV-834838,2024-02-27,2399832.0,Cheque
PAY-550895,INV-529150,2023-02-17,3564705.6,Credit Card
PAY-879982,INV-220146,2020-11-26,1273288.2,Cheque
PAY-144157,INV-582130,2021-05-25,104398.18,Cash
PAY-541290,INV-582130,2021-07-01,1062709.03,Cash
PAY-349606,INV-582130,2021-07-02,4951.19,Cheque
PAY-930031,INV-220059,2024-04-22,154349.99,Cheque
PAY-311036,INV-883172,2020-06-05,657437.43,Credit Card
PAY-827318,INV-512120,2024-10-06,50098.09,UPI
PAY-276764,INV-512120,2024-11-11,227377.91,Cash
PAY-621539,INV-560046,2019-09-07,478178.0,UPI
PAY-622857,INV-813014,2023-07-11,1302268.0,Credit Card
PAY-811535,INV-959763,2021-04-25,164985.2,Credit Card
PAY-762595,INV-959763,2021-05-15,809118.04,UPI
PAY-146045,INV-959763,2021-05-14,175947.76,UPI
PAY-558650,INV-750210,2020-03-04,1737817.0,Cash
PAY-339158,INV-307357,2021-11-15,215488.0,UPI
PAY-665007,INV-670523,2023-08-11,3231.99,Cheque
PAY-270605,INV-670523,2023-07-23,5830.41,Credit Card
PAY-151806,INV-649238,2024-01-28,1457905.8,UPI
PAY-336667,INV-786620,2023-07-16,5706.6,Credit Card
PAY-545447,INV-754199,2024-01-27,2452474.0,Cheque
PAY-543147,INV-365987,2024-11-11,1847609.0,UPI
PAY-132175,INV-779136,2022-02-12,178565.09,Cash
PAY-590135,INV-779136,2022-03-19,120036.4,Bank Transfer
PAY-793833,INV-779136,2022-03-26,108950.51,Cheque
PAY-624298,INV-162740,2023-07-06,1135811.48,Bank Transfer
PAY-597384,INV-893912,2021-12-22,356319.5,Credit Card
PAY-245116,INV-272857,2024-12-05,436992.0,Cheque
PAY-431276,INV-533653,2021-10-20,1221616.0,UPI
PAY-456523,INV-451975,2022-11-30,2286016.0,Bank Transfer
PAY-511547,INV-535899,2024-12-15,797036.8,Cheque
PAY-429185,INV-627459,2021-01-02,620727.14,UPI
PAY-373017,INV-828281,2024-02-05,2160880.0,Credit Card
PAY-520365,INV-149737,2024-03-02,998401.57,Cash
PAY-496937,INV-149737,2024-02-04,1229578.43,Credit Card
PAY-470376,INV-802656,2020-01-04,3457932.0,Bank Transfer
PAY-680359,INV-596171,2022-04-07,850820.0,Credit Card
PAY-798714,INV-289217,2021-01-10,170515.4,Cash
PAY-706528,INV-902964,2022-02-08,1614899.0,Cash
PAY-874760,INV-352127,2023-07-06,3895876.4,Bank Transfer
PAY-841086,INV-341259,2021-10-16,3103256.0,UPI
PAY-516568,INV-415673,2020-09-22,1194699.0,Credit Card
PAY-434673,INV-521672,2019-08-28,1225487.6,Cheque
PAY-165069,INV-259216,2025-01-02,2360776.0,Cash
PAY-789737,INV-784335,2021-06-14,2810474.0,Cheque
PAY-975580,INV-217275,2019-05-28,23173.15,Cash
PAY-660788,INV-217275,2019-06-04,780.85,UPI
PAY-691347,INV-641457,2020-09-23,1812703.2,UPI
PAY-916846,INV-981022,2019-09-07,2891397.8,Credit Card
PAY-394089,INV-847653,2023-07-29,2918030.13,Credit Card
PAY-726930,INV-713911,2019-05-27,1167170.4,Bank Transfer
PAY-514375,INV-623277,2021-08-21,1605959.43,Credit Card
PAY-530901,INV-881354,2022-08-25,7877.25,Cash
PAY-819165,INV-600537,2021-04-26,1320870.53,Cheque
PAY-544605,INV-600537,2021-04-12,764279.47,UPI
PAY-596068,INV-768477,2020-05-14,1438623.2,Bank Transfer
PAY-781904,INV-844399,2020-05-21,201133.74,UPI
PAY-790291,INV-844399,2020-05-06,787808.26,UPI
PAY-181056,INV-482847,2023-09-17,2230681.24,Cash
PAY-443243,INV-361583,2025-01-22,905589.0,Credit Card
PAY-490652,INV-175876,2022-03-01,64619.01,UPI
PAY-795342,INV-175876,2022-02-04,283131.99,Bank Transfer
PAY-525169,INV-464112,2021-04-20,1451676.2,Credit Card
PAY-628246,INV-570985,2020-06-11,2032876.8,Cash
PAY-328377,INV-432823,2019-07-12,151582.8,UPI
PAY-298625,INV-523025,2019-11-03,11231.73,Credit Card
PAY-549577,INV-772546,2024-01-14,61157.36,Cheque
PAY-296066,INV-772546,2024-02-17,571041.87,Bank Transfer
PAY-856725,INV-772546,2024-01-11,2758243.76,Bank Transfer
PAY-342589,INV-565118,2022-11-18,45766.04,Cash
PAY-984512,INV-565118,2022-11-25,221519.66,Bank Transfer
PAY-354600,INV-565118,2022-12-18,636394.31,Cheque
PAY-385607,INV-730194,2023-08-20,1825328.0,Credit Card
PAY-232395,INV-773901,2020-10-24,980651.0,Cash
PAY-324351,INV-546140,2021-05-17,1035340.6,UPI
PAY-803939,INV-466512,2022-11-10,72320.0,Bank Transfer
PAY-578493,INV-442290,2024-12-25,3475976.4,Bank Transfer
PAY-941876,INV-812083,2025-02-08,3513691.0,Bank Transfer
PAY-126086,INV-500698,2020-02-10,12307.44,UPI
PAY-956616,INV-317751,2020-05-18,1412433.8,Cash
PAY-572323,INV-712509,2023-10-10,11977.0,Cash
PAY-857095,INV-721293,2020-05-09,2898741.0,Cash
PAY-340316,INV-449696,2021-05-23,283772.2,Credit Card
PAY-503949,INV-768057,2019-03-11,116383.4,Bank Transfer
PAY-498490,INV-660489,2019-12-09,3498619.6,Cash
PAY-870021,INV-753316,2019-07-08,2534063.8,Cheque
PAY-627711,INV-778595,2023-08-06,10481.22,Bank Transfer
PAY-318044,INV-637376,2023-05-04,3183317.8,Bank Transfer
PAY-694794,INV-824854,2020-12-20,3998147.8,Cheque
PAY-632660,INV-923912,2021-07-13,1854413.4,Cash
PAY-604973,INV-876252,2024-07-15,1061096.2,Cash
PAY-627353,INV-527636,2025-02-17,415664.4,Cheque
PAY-667238,INV-849623,2019-02-12,278.41,Cheque
PAY-803783,INV-849623,2019-03-28,2435.59,Cheque
PAY-543659,INV-540329,2020-01-26,161817.21,Credit Card
PAY-126766,INV-920141,2019-09-01,206475.07,UPI
PAY-820829,INV-920141,2019-08-31,3534541.13,Cash
PAY-488875,INV-920331,2019-11-30,65606.37,Credit Card
PAY-111032,INV-180343,2019-04-28,8435794.2,UPI
PAY-618093,INV-693498,2020-04-29,880713.0,Cheque
PAY-878435,INV-628856,2019-10-08,1796802.49,Bank Transfer
PAY-675687,INV-628856,2019-10-01,62280.71,Credit Card
PAY-977584,INV-562591,2023-08-08,1002826.6,Cash
PAY-724151,INV-878185,2019-06-15,4542763.0,Credit Card
PAY-978451,INV-233625,2019-04-10,814461.53,Cheque
PAY-677436,INV-233625,2019-02-21,247828.27,Cash
PAY-218087,INV-166804,2022-03-23,1634013.0,Cheque
PAY-543087,INV-644797,2024-07-09,1110645.0,Cash
PAY-779280,INV-801186,2020-08-27,907422.6,Cash
PAY-503887,INV-461027,2024-01-27,3954793.8,UPI
PAY-703197,INV-565419,2021-09-12,804780.47,Credit Card
PAY-751553,INV-568008,2022-12-10,134835.48,Cheque
PAY-886493,INV-939886,2022-08-29,815104.0,Cheque
PAY-566188,INV-847916,2024-09-20,1399402.0,UPI
PAY-124268,INV-187203,2021-01-09,2759312.0,Credit Card
PAY-241610,INV-133586,2023-11-03,461842.0,Cheque
PAY-591492,INV-487080,2020-09-16,609998.74,Credit Card
PAY-838761,INV-777140,2021-06-08,101893.0,UPI
PAY-116305,INV-564530,2021-03-24,2645699.6,UPI
PAY-626955,INV-174288,2024-10-29,1840640.0,Cheque
PAY-448314,INV-489554,2019-01-11,6796.8,Credit Card
PAY-347628,INV-186305,2023-06-30,88274.56,Bank Transfer
PAY-898215,INV-448100,2023-03-03,2707946.0,Cheque
PAY-789734,INV-568301,2023-10-26,1592757.7,Cash
PAY-267488,INV-560175,2022-07-09,1449892.6,Credit Card
PAY-453372,INV-678575,2024-03-02,2404001.8,Cheque
PAY-387424,INV-917014,2023-10-28,2206624.01,Cash
PAY-988729,INV-689934,2023-08-19,3399078.81,Credit Card
PAY-652283,INV-689934,2023-10-06,480502.19,Cash
PAY-761674,INV-705766,2023-09-12,501488.9,UPI
PAY-704408,INV-635809,2020-10-15,1912054.2,Bank Transfer
PAY-218420,INV-918824,2024-09-26,48175.88,UPI
PAY-535464,INV-197480,2022-12-13,1057577.47,Cash
PAY-170387,INV-880269,2021-04-16,892481.04,UPI
PAY-234207,INV-880269,2021-05-16,490785.49,Credit Card
PAY-565460,INV-880269,2021-04-30,323244.07,Cheque
PAY-446476,INV-234629,2024-05-21,145024.0,Cheque
PAY-418363,INV-744079,2019-11-29,856264.0,Cash
PAY-273972,INV-217947,2019-05-03,482460.8,Credit Card
PAY-160156,INV-492960,2021-01-18,374252.09,Cash
PAY-355302,INV-134011,2021-06-15,32697.26,Bank Transfer
PAY-424171,INV-134011,2021-06-22,90459.48,UPI
PAY-117990,INV-134011,2021-07-27,142349.26,Cheque
PAY-172580,INV-965685,2021-12-06,1864310.4,Cheque
PAY-773071,INV-730284,2024-02-16,240416.98,Credit Card
PAY-739155,INV-730284,2024-01-07,2267992.96,Cash
PAY-808144,INV-730284,2024-02-10,980239.06,Cash
PAY-344947,INV-843094,2024-10-09,148208.0,Cheque
PAY-298294,INV-178768,2021-11-20,229425.11,Cash
PAY-225692,INV-178768,2021-12-17,131936.49,UPI
PAY-113039,INV-244312,2019-05-12,553076.26,Credit Card
PAY-274858,INV-244312,2019-04-26,854915.57,Bank Transfer
PAY-133577,INV-244312,2019-04-11,2755424.57,UPI
PAY-975967,INV-503393,2020-03-27,26069.49,Credit Card
PAY-962807,INV-503393,2020-03-22,221854.5,Credit Card
PAY-553108,INV-503393,2020-02-26,84682.01,Cash
PAY-468175,INV-320608,2023-05-18,1088073.0,Cheque
PAY-633142,INV-327891,2023-01-27,422787.94,Cash
PAY-464931,INV-327891,2023-03-15,265852.06,Cheque
PAY-678057,INV-134120,2021-08-05,102619.0,UPI
PAY-599137,INV-252653,2022-06-04,86016.0,Cheque
PAY-482748,INV-884716,2024-05-02,536364.0,Credit Card
PAY-827866,INV-967961,2019-02-12,3381891.8,Credit Card
PAY-439504,INV-975679,2023-06-02,174570.19,Cash
PAY-266262,INV-391273,2021-03-18,6334617.8,Credit Card
PAY-848900,INV-246574,2022-05-21,2610218.43,Cheque
PAY-733888,INV-934380,2022-08-01,3493943.0,UPI
PAY-461283,INV-252729,2020-05-20,15500.0,Bank Transfer
PAY-416907,INV-252729,2020-06-01,29172.0,Credit Card
PAY-432970,INV-418889,2023-10-18,3077969.6,Cheque
PAY-374492,INV-696475,2024-02-27,9628.8,UPI
PAY-437973,INV-843012,2021-11-13,2011471.2,Credit Card
PAY-274085,INV-603462,2024-09-22,931608.6,UPI
PAY-199812,INV-769116,2024-03-19,986708.4,Cash
PAY-950962,INV-667421,2024-01-03,3837422.8,Cash
PAY-324354,INV-865646,2024-06-06,2815737.6,Bank Transfer
PAY-534518,INV-663040,2024-06-02,4279133.0,UPI
PAY-490311,INV-147786,2020-03-15,113617.19,Cash
PAY-282011,INV-147786,2020-02-26,1596602.44,Cheque
PAY-165008,INV-147786,2020-02-27,41714.77,Bank Transfer
PAY-755017,INV-578207,2021-03-24,1389825.6,Cheque
PAY-322825,INV-955181,2019-09-02,909346.47,UPI
PAY-280700,INV-465222,2023-08-31,1234407.96,UPI
PAY-429056,INV-263167,2024-04-15,2960804.0,UPI
PAY-598192,INV-404110,2019-04-25,1593142.0,Cash
PAY-259110,INV-604777,2024-01-30,810681.91,Credit Card
PAY-961125,INV-609322,2022-12-08,1638361.0,Cheque
