customer_id,total_orders,total_units,total_revenue,products_purchased,branches_used,customer_type,industry_segment,city,state,region,average_order_value,average_units_per_order,revenue_share_percentage,customer_value_category,revenue_share,cumulative_revenue_share
C0440,47,3555,67904760,30,1,Retail,Manufacturing,Hyderabad,Telangana,South,1444782.1276595744,75.63829787234043,0.26684368482898113,High Value,0.0026684368482898114,0.1056885566432273
C0005,51,3747,67256610,30,1,Dealer,Construction,Ahmedabad,Gujarat,West,1318757.0588235294,73.47058823529412,0.2642966655283916,High Value,0.0026429666552839157,0.10833152329851121
C0197,50,3431,66821570,30,1,Government,Manufacturing,Ahmedabad,Gujarat,West,1336431.4,68.62,0.26258709941479363,High Value,0.0026258709941479365,0.11095739429265915
C0403,49,3658,66810710,30,1,Government,Construction,Kolkata,West Bengal,East,1363483.8775510204,74.65306122448979,0.2625444231367648,High Value,0.002625444231367648,0.1135828385240268
C0394,46,3405,66611310,30,1,Government,Construction,Hyderabad,Telangana,South,1448071.956521739,74.02173913043478,0.26176084580352776,High Value,0.0026176084580352777,0.11620044698206208
C0201,49,3466,66387120,30,1,Dealer,Infrastructure,Chennai,Tamil Nadu,South,1354839.1836734693,70.73469387755102,0.26087985180985473,High Value,0.0026087985180985474,0.11880924550016063
C0435,57,3742,66153460,30,1,Dealer,Manufacturing,Chennai,Tamil Nadu,South,1160587.0175438595,65.64912280701755,0.25996164378736647,High Value,0.0025996164378736648,0.1214088619380343
C0049,42,3157,66038070,30,1,Dealer,Manufacturing,Coimbatore,Tamil Nadu,South,1572335.0,75.16666666666667,0.25950819850912066,High Value,0.0025950819850912065,0.1240039439231255
C0476,38,2530,65951870,30,1,Fleet Owner,Infrastructure,Delhi,Delhi,North,1735575.5263157894,66.57894736842105,0.25916946046436123,High Value,0.0025916946046436124,0.12659563852776912
C0119,58,3605,65855380,30,1,Government,Manufacturing,Surat,Gujarat,West,1135437.5862068965,62.1551724137931,0.2587902860567181,High Value,0.002587902860567181,0.1291835413883363
C0375,44,3155,65579710,30,1,Fleet Owner,Mining,Surat,Gujarat,West,1490447.9545454546,71.70454545454545,0.25770699235835576,High Value,0.0025770699235835577,0.13176061131191985
C0113,42,2941,65271430,30,1,Corporate,Logistics,Chennai,Tamil Nadu,South,1554081.6666666667,70.02380952380952,0.2564955519356361,High Value,0.002564955519356361,0.13432556683127622
C0244,48,3292,64972160,30,1,Government,Logistics,Lucknow,Uttar Pradesh,North,1353586.6666666667,68.58333333333333,0.25531951789091273,High Value,0.0025531951789091274,0.13687876201018534
C0069,52,3746,64878390,30,1,Dealer,Logistics,Delhi,Delhi,North,1247661.3461538462,72.03846153846153,0.2549510322011553,High Value,0.002549510322011553,0.1394282723321969
C0129,40,3191,64690070,30,1,Corporate,Mining,Delhi,Delhi,North,1617251.75,79.775,0.2542109956745997,High Value,0.002542109956745997,0.1419703822889429
C0060,50,3565,64410620,30,1,Dealer,Mining,Hyderabad,Telangana,South,1288212.4,71.3,0.25311284780211685,High Value,0.0025311284780211683,0.14450151076696408
C0013,49,3585,64377720,30,1,Dealer,Construction,Surat,Gujarat,West,1313831.0204081633,73.16326530612245,0.2529835614718084,High Value,0.002529835614718084,0.14703134638168217
C0272,43,3277,64345280,30,1,Government,Construction,Delhi,Delhi,North,1496401.8604651163,76.20930232558139,0.25285608279231886,High Value,0.0025285608279231888,0.14955990720960535
C0221,44,2968,64336800,30,1,Dealer,Logistics,Delhi,Delhi,North,1462200.0,67.45454545454545,0.25282275914244,High Value,0.0025282275914244,0.15208813480102976
C0384,42,3384,64311810,30,1,Retail,Construction,Chennai,Tamil Nadu,South,1531233.5714285714,80.57142857142857,0.2527245565468653,High Value,0.0025272455654686533,0.1546153803664984
C0482,36,2843,64020490,30,1,Fleet Owner,Logistics,Kolkata,West Bengal,East,1778346.9444444445,78.97222222222223,0.2515797634239034,High Value,0.0025157976342390343,0.15713117800073745
C0082,50,3363,63866170,30,1,Fleet Owner,Manufacturing,Ahmedabad,Gujarat,West,1277323.4,67.26,0.2509733358709188,High Value,0.002509733358709188,0.15964091135944664
C0062,38,3113,63839240,30,1,Dealer,Construction,Hyderabad,Telangana,South,1679980.0,81.92105263157895,0.25086750970449917,High Value,0.0025086750970449915,0.16214958645649163
C0169,44,3130,63375830,30,1,Fleet Owner,Construction,Ahmedabad,Gujarat,West,1440359.7727272727,71.13636363636364,0.2490464586914833,High Value,0.002490464586914833,0.16464005104340645
C0234,33,2845,63256170,30,1,Corporate,Infrastructure,Surat,Gujarat,West,1916853.6363636365,86.21212121212122,0.24857623369802725,High Value,0.0024857623369802725,0.16712581338038673
C0250,45,3308,63230590,30,1,Government,Infrastructure,Patna,Bihar,East,1405124.2222222222,73.5111111111111,0.24847571259379353,High Value,0.002484757125937935,0.16961057050632466
C0295,46,3270,63205470,30,1,Corporate,Mining,Kolkata,West Bengal,East,1374031.956521739,71.08695652173913,0.24837699914037875,High Value,0.0024837699914037874,0.17209434049772845
C0165,51,3586,63180540,30,1,Fleet Owner,Manufacturing,Delhi,Delhi,North,1238834.1176470588,70.31372549019608,0.24827903232534565,High Value,0.0024827903232534565,0.17457713082098192
C0215,53,3911,62827530,30,1,Corporate,Rental,Chennai,Tamil Nadu,South,1185425.0943396227,73.79245283018868,0.24689181750886624,High Value,0.0024689181750886624,0.17704604899607057
C0102,38,2984,62773480,30,1,Government,Infrastructure,Patna,Bihar,East,1651933.6842105263,78.52631578947368,0.24667941853764525,High Value,0.0024667941853764525,0.17951284318144703
C0276,49,3459,62626530,30,1,Dealer,Manufacturing,Indore,Madhya Pradesh,Central,1278092.448979592,70.59183673469387,0.24610195269451998,High Value,0.0024610195269451998,0.18197386270839222
C0356,45,3218,62479450,30,1,Dealer,Mining,Bhubaneswar,Odisha,East,1388432.2222222222,71.5111111111111,0.2455239759935546,High Value,0.002455239759935546,0.18442910246832778
C0103,42,3102,62476630,30,1,Dealer,Infrastructure,Coimbatore,Tamil Nadu,South,1487538.8095238095,73.85714285714286,0.2455128943080996,High Value,0.002455128943080996,0.18688423141140878
C0297,39,3033,62422580,30,1,Fleet Owner,Rental,Chennai,Tamil Nadu,South,1600578.9743589743,77.76923076923077,0.24530049533687862,High Value,0.002453004953368786,0.18933723636477756
C0219,48,3279,62317920,30,1,Government,Manufacturing,Pune,Maharashtra,West,1298290.0,68.3125,0.24488921547882156,High Value,0.0024488921547882155,0.19178612851956578
C0459,45,3116,62289100,30,1,Retail,Logistics,Ranchi,Jharkhand,East,1384202.2222222222,69.24444444444444,0.24477596222534168,High Value,0.0024477596222534166,0.1942338881418192
C0478,47,3323,61995630,30,1,Retail,Rental,Delhi,Delhi,North,1319055.9574468085,70.70212765957447,0.24362272029963922,High Value,0.0024362272029963923,0.19667011534481557
C0311,46,3214,61951490,30,1,Government,Infrastructure,Chandigarh,Punjab,North,1346771.5217391304,69.8695652173913,0.24344926441453849,High Value,0.002434492644145385,0.19910460798896096
C0489,51,3366,61811660,30,1,Fleet Owner,Rental,Chennai,Tamil Nadu,South,1211993.3333333333,66.0,0.2428997778623493,High Value,0.002428997778623493,0.20153360576758445
C0422,44,3019,61810690,30,1,Government,Construction,Hyderabad,Telangana,South,1404788.4090909092,68.61363636363636,0.24289596607692684,High Value,0.0024289596607692684,0.20396256542835373
C0282,51,3781,61527530,30,1,Government,Logistics,Kolkata,West Bengal,East,1206422.156862745,74.13725490196079,0.24178323910762195,High Value,0.0024178323910762196,0.20638039781942993
C0042,44,3165,61493750,30,1,Fleet Owner,Rental,Chennai,Tamil Nadu,South,1397585.2272727273,71.93181818181819,0.2416504946627035,High Value,0.002416504946627035,0.20879690276605697
C0135,45,3145,61465530,30,1,Retail,Rental,Bengaluru,Karnataka,South,1365900.6666666667,69.88888888888889,0.24153959921463952,High Value,0.0024153959921463953,0.21121229875820338
C0491,32,2861,61370730,30,1,Dealer,Infrastructure,Chennai,Tamil Nadu,South,1917835.3125,89.40625,0.24116706595891804,High Value,0.0024116706595891805,0.21362396941779258
C0246,37,2548,61368980,30,1,Retail,Manufacturing,Delhi,Delhi,North,1658621.0810810812,68.86486486486487,0.2411601890264548,High Value,0.002411601890264548,0.21603557130805712
C0284,45,3369,61309650,30,1,Corporate,Manufacturing,Kolkata,West Bengal,East,1362436.6666666667,74.86666666666666,0.24092704136757342,High Value,0.002409270413675734,0.21844484172173284
C0196,54,3483,61286970,30,1,Fleet Owner,Rental,Guwahati,Assam,North East,1134943.888888889,64.5,0.24083791632285018,High Value,0.002408379163228502,0.22085322088496134
C0168,38,3157,61195700,30,1,Dealer,Infrastructure,Pune,Maharashtra,West,1610413.1578947369,83.07894736842105,0.2404792548223259,High Value,0.002404792548223259,0.2232580134331846
C0154,46,3157,61178520,30,1,Fleet Owner,Logistics,Delhi,Delhi,North,1329967.8260869565,68.6304347826087,0.24041174299391563,High Value,0.002404117429939156,0.22566213086312376
C0002,56,3636,61160690,30,1,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,1092155.1785714286,64.92857142857143,0.2403416768763047,High Value,0.002403416768763047,0.2280655476318868
C0411,46,3012,61125740,30,1,Corporate,Mining,Hyderabad,Telangana,South,1328820.4347826086,65.47826086956522,0.24020433471082508,High Value,0.002402043347108251,0.23046759097899505
C0006,46,3221,60992880,30,1,Government,Construction,Ahmedabad,Gujarat,West,1325932.1739130435,70.02173913043478,0.23968223799821792,High Value,0.0023968223799821792,0.23286441335897723
C0045,43,2991,60965470,30,1,Corporate,Rental,Kolkata,West Bengal,East,1417801.6279069767,69.55813953488372,0.2395745255874655,High Value,0.002395745255874655,0.2352601586148519
C0041,42,3138,60948700,30,1,Government,Rental,Hyderabad,Telangana,South,1451159.5238095238,74.71428571428571,0.2395086249260895,High Value,0.0023950862492608947,0.2376552448641128
C0373,43,3071,60942770,30,1,Corporate,Manufacturing,Hyderabad,Telangana,South,1417273.7209302327,71.4186046511628,0.23948532194922845,High Value,0.0023948532194922843,0.24005009808360508
C0016,41,3051,60898100,30,1,Government,Rental,Ranchi,Jharkhand,East,1485319.512195122,74.41463414634147,0.2393097833360103,High Value,0.002393097833360103,0.2424431959169652
C0242,50,3189,60722930,30,1,Government,Construction,Chennai,Tamil Nadu,South,1214458.6,63.78,0.23862142204482106,High Value,0.0023862142204482107,0.2448294101374134
C0186,42,2994,60717650,30,1,Fleet Owner,Infrastructure,Kolkata,West Bengal,East,1445658.3333333333,71.28571428571429,0.23860067335716068,High Value,0.0023860067335716066,0.24721541687098503
C0300,44,3058,60578170,30,1,Dealer,Mining,Delhi,Delhi,North,1376776.5909090908,69.5,0.23805256219146406,High Value,0.0023805256219146405,0.24959594249289968
C0063,43,2940,60573240,30,1,Retail,Rental,Delhi,Delhi,North,1408680.0,68.37209302325581,0.2380331888902963,High Value,0.002380331888902963,0.25197627438180265
C0071,47,3399,60419160,30,1,Corporate,Rental,Jaipur,Rajasthan,North,1285514.0425531915,72.31914893617021,0.23742770445947803,High Value,0.0023742770445947803,0.2543505514263974
C0257,45,3363,60172930,30,1,Corporate,Logistics,Delhi,Delhi,North,1337176.2222222222,74.73333333333333,0.23646010041352541,High Value,0.0023646010041352542,0.25671515243053267
C0116,40,3001,60134220,30,1,Dealer,Construction,Delhi,Delhi,North,1503355.5,75.025,0.23630798266743913,High Value,0.0023630798266743914,0.25907823225720705
C0026,41,3118,60102980,30,1,Fleet Owner,Mining,Jaipur,Rajasthan,North,1465926.3414634147,76.04878048780488,0.23618521959878155,High Value,0.0023618521959878156,0.2614400844531949
C0255,49,3492,60102490,30,1,Retail,Infrastructure,Chennai,Tamil Nadu,South,1226581.4285714286,71.26530612244898,0.23618329405769187,High Value,0.0023618329405769188,0.2638019173937718
C0216,46,3001,60089830,30,1,Government,Mining,Kolkata,West Bengal,East,1306300.652173913,65.23913043478261,0.2361335443634151,High Value,0.002361335443634151,0.26616325283740594
C0385,42,2949,60053350,30,1,Corporate,Manufacturing,Ahmedabad,Gujarat,West,1429841.6666666667,70.21428571428571,0.23599018979412484,High Value,0.0023599018979412485,0.2685231547353472
C0160,49,3197,59980970,30,1,Retail,Rental,Ahmedabad,Gujarat,West,1224101.4285714286,65.24489795918367,0.23570575986744635,High Value,0.0023570575986744634,0.27088021233402165
C0369,46,3047,59977870,30,1,Government,Manufacturing,Pune,Maharashtra,West,1303866.7391304348,66.23913043478261,0.2356935778727972,High Value,0.002356935778727972,0.27323714811274963
C0141,40,2727,59888120,30,1,Corporate,Rental,Ahmedabad,Gujarat,West,1497203.0,68.175,0.2353408894793267,High Value,0.002353408894793267,0.27559055700754287
C0237,46,2776,59754510,30,1,Dealer,Infrastructure,Coimbatore,Tamil Nadu,South,1299011.0869565217,60.34782608695652,0.23481584550994958,High Value,0.0023481584550994958,0.27793871546264237
C0192,43,2799,59390920,30,1,Fleet Owner,Logistics,Patna,Bihar,East,1381184.1860465116,65.09302325581395,0.23338705472463542,High Value,0.002333870547246354,0.28027258600988875
C0343,45,2906,59151480,30,1,Corporate,Construction,Pune,Maharashtra,West,1314477.3333333333,64.57777777777778,0.23244613317664006,High Value,0.0023244613317664007,0.28259704734165514
C0065,41,2912,59050070,30,1,Corporate,Mining,Vadodara,Gujarat,West,1440245.6097560977,71.02439024390245,0.2320476247645861,High Value,0.002320476247645861,0.284917523589301
C0253,40,3155,59006480,30,1,Retail,Rental,Pune,Maharashtra,West,1475162.0,78.875,0.23187633020111667,High Value,0.0023187633020111667,0.28723628689131214
C0447,39,3115,58830780,30,1,Fleet Owner,Rental,Kolkata,West Bengal,East,1508481.5384615385,79.87179487179488,0.23118588618181005,High Value,0.0023118588618181004,0.28954814575313026
C0025,44,3107,58809760,30,1,Corporate,Infrastructure,Pune,Maharashtra,West,1336585.4545454546,70.61363636363636,0.23110328439873762,High Value,0.0023110328439873763,0.29185917859711763
C0488,40,3168,58528170,30,1,Government,Construction,Chennai,Tamil Nadu,South,1463204.25,79.2,0.22999672702027119,High Value,0.0022999672702027118,0.29415914586732034
C0269,48,3360,58480890,30,1,Government,Mining,Chennai,Tamil Nadu,South,1218351.875,70.0,0.2298109319534936,High Value,0.0022981093195349363,0.2964572551868553
C0374,46,3203,58464410,30,1,Corporate,Manufacturing,Pune,Maharashtra,West,1270965.4347826086,69.6304347826087,0.22974617089806865,High Value,0.0022974617089806864,0.298754716895836
C0471,42,3064,58365420,30,1,Fleet Owner,Logistics,Ahmedabad,Gujarat,West,1389652.857142857,72.95238095238095,0.22935717230119232,High Value,0.0022935717230119232,0.3010482886188479
C0140,44,3053,58201560,30,1,Retail,Logistics,Pune,Maharashtra,West,1322762.7272727273,69.38636363636364,0.22871325564209397,High Value,0.0022871325564209396,0.30333542117526885
C0337,35,2775,58199500,30,1,Corporate,Manufacturing,Delhi,Delhi,North,1662842.857142857,79.28571428571429,0.22870516051016584,High Value,0.0022870516051016585,0.3056224727803705
C0032,45,3056,58165930,30,1,Government,Logistics,Ahmedabad,Gujarat,West,1292576.2222222222,67.91111111111111,0.22857324129714296,High Value,0.0022857324129714296,0.30790820519334194
C0166,34,2812,58111030,30,1,Fleet Owner,Manufacturing,Ahmedabad,Gujarat,West,1709147.9411764706,82.70588235294117,0.2283575021015827,High Value,0.002283575021015827,0.3101917802143578
C0318,41,2957,58005460,30,1,Corporate,Logistics,Delhi,Delhi,North,1414767.3170731708,72.1219512195122,0.22794264623864474,High Value,0.0022794264623864475,0.3124712066767442
C0109,48,3451,57909360,30,1,Retail,Mining,Chennai,Tamil Nadu,South,1206445.0,71.89583333333333,0.227565004404522,High Value,0.00227565004404522,0.31474685672078945
C0193,44,3001,57786600,30,1,Dealer,Infrastructure,Vadodara,Gujarat,West,1313331.8181818181,68.20454545454545,0.2270825974164168,High Value,0.002270825974164168,0.3170176826949536
C0355,40,2851,57761570,30,1,Government,Infrastructure,Hyderabad,Telangana,South,1444039.25,71.275,0.22698423763381437,High Value,0.0022698423763381436,0.31928752507129177
C0270,46,3044,57707880,30,1,Corporate,Manufacturing,Delhi,Delhi,North,1254519.1304347827,66.17391304347827,0.226773253345843,High Value,0.00226773253345843,0.3215552576047502
C0131,39,2892,57656260,30,1,Corporate,Rental,Hyderabad,Telangana,South,1478365.641025641,74.15384615384616,0.22657040348655666,Medium Value,0.0022657040348655665,0.32382096163961577
C0455,40,2848,57607900,30,1,Retail,Logistics,Indore,Madhya Pradesh,Central,1440197.5,71.2,0.22638036437003037,Medium Value,0.0022638036437003036,0.3260847652833161
C0415,36,3025,57595000,30,1,Government,Infrastructure,Guwahati,Assam,North East,1599861.111111111,84.02777777777777,0.22632967155358724,Medium Value,0.0022632967155358725,0.32834806199885197
C0261,40,3010,57586180,30,1,Dealer,Manufacturing,Delhi,Delhi,North,1439654.5,75.25,0.22629501181397263,Medium Value,0.0022629501181397264,0.3306110121169917
C0149,42,2828,57543220,30,1,Government,Manufacturing,Surat,Gujarat,West,1370076.6666666667,67.33333333333333,0.22612619294619,Medium Value,0.0022612619294619,0.3328722740464536
C0425,44,2773,57482400,30,1,Dealer,Manufacturing,Chennai,Tamil Nadu,South,1306418.1818181819,63.02272727272727,0.22588719007052566,Medium Value,0.0022588719007052564,0.33513114594715887
C0293,42,3173,57398730,30,1,Dealer,Logistics,Pune,Maharashtra,West,1366636.4285714286,75.54761904761905,0.22555839410527018,Medium Value,0.0022555839410527017,0.33738672988821156
C0128,39,2697,57387360,30,1,Retail,Mining,Ahmedabad,Gujarat,West,1471470.7692307692,69.15384615384616,0.22551371369263773,Medium Value,0.0022551371369263773,0.33964186702513793
C0499,44,2851,57171990,30,1,Corporate,Construction,Bhubaneswar,Odisha,East,1299363.4090909092,64.79545454545455,0.2246673794385793,Medium Value,0.002246673794385793,0.34188854081952375
C0184,35,2846,57050360,30,1,Retail,Rental,Chennai,Tamil Nadu,South,1630010.2857142857,81.31428571428572,0.22418941298400752,Medium Value,0.0022418941298400752,0.3441304349493638
C0306,47,2868,57049240,30,1,Fleet Owner,Manufacturing,Kolkata,West Bengal,East,1213813.6170212766,61.02127659574468,0.22418501174723107,Medium Value,0.0022418501174723106,0.3463722850668361
C0428,45,3061,56913820,30,1,Retail,Construction,Delhi,Delhi,North,1264751.5555555555,68.02222222222223,0.22365285506484914,Medium Value,0.0022365285506484914,0.3486088136174846
C0225,51,2972,56839930,30,1,Fleet Owner,Logistics,Delhi,Delhi,North,1114508.431372549,58.27450980392157,0.22336249132787378,Medium Value,0.002233624913278738,0.3508424385307633
C0209,46,3052,56741580,30,1,Corporate,Infrastructure,Ranchi,Jharkhand,East,1233512.608695652,66.34782608695652,0.2229760077234412,Medium Value,0.002229760077234412,0.3530721986079977
C0460,36,2905,56715420,30,1,Dealer,Logistics,Coimbatore,Tamil Nadu,South,1575428.3333333333,80.69444444444444,0.22287320740730537,Medium Value,0.002228732074073054,0.35530093068207075
C0172,42,2786,56707730,30,1,Dealer,Manufacturing,Bengaluru,Karnataka,South,1350184.0476190476,66.33333333333333,0.2228429882012242,Medium Value,0.002228429882012242,0.35752936056408297
C0377,40,2878,56674980,30,1,Dealer,Logistics,Nagpur,Maharashtra,West,1416874.5,71.95,0.22271429132226978,Medium Value,0.0022271429132226976,0.35975650347730564
C0264,39,2551,56501370,30,1,Retail,Infrastructure,Pune,Maharashtra,West,1448753.076923077,65.41025641025641,0.22203206032516207,Medium Value,0.0022203206032516206,0.36197682408055726
C0383,43,2872,56328200,30,1,Fleet Owner,Infrastructure,Lucknow,Uttar Pradesh,North,1309958.1395348837,66.79069767441861,0.22135155838535941,Medium Value,0.002213515583853594,0.36419033966441083
C0429,44,2856,56178520,30,1,Fleet Owner,Logistics,Ahmedabad,Gujarat,West,1276784.5454545454,64.9090909090909,0.22076336452759152,Medium Value,0.0022076336452759152,0.36639797330968676
C0054,42,2612,56103080,30,1,Fleet Owner,Manufacturing,Chennai,Tamil Nadu,South,1335787.619047619,62.19047619047619,0.2204669097932916,Medium Value,0.002204669097932916,0.3686026424076197
C0191,31,2309,56028890,30,1,Corporate,Manufacturing,Visakhapatnam,Andhra Pradesh,South,1807383.5483870967,74.48387096774194,0.2201753671536083,Medium Value,0.002201753671536083,0.3708043960791558
C0469,44,3044,55971040,30,1,Government,Manufacturing,Chandigarh,Punjab,North,1272069.0909090908,69.18181818181819,0.2199480354147529,Medium Value,0.002199480354147529,0.3730038764333033
C0247,42,2998,55849110,30,1,Corporate,Logistics,Bhubaneswar,Odisha,East,1329740.7142857143,71.38095238095238,0.21946889005747314,Medium Value,0.0021946889005747313,0.375198565333878
C0461,42,3079,55770880,30,1,Corporate,Infrastructure,Delhi,Delhi,North,1327878.0952380951,73.30952380952381,0.219161471527989,Medium Value,0.00219161471527989,0.3773901800491579
C0236,47,2825,55730670,30,1,Corporate,Mining,Mumbai,Maharashtra,West,1185758.9361702127,60.1063829787234,0.21900345926836287,Medium Value,0.0021900345926836287,0.37958021464184155
C0085,44,2714,55654550,30,1,Retail,Mining,Chennai,Tamil Nadu,South,1264876.1363636365,61.68181818181818,0.21870433235459152,Medium Value,0.0021870433235459154,0.38176725796538746
C0341,38,2834,55626730,30,1,Fleet Owner,Mining,Delhi,Delhi,North,1463861.3157894737,74.57894736842105,0.21859500877680493,Medium Value,0.002185950087768049,0.3839532080531555
C0406,37,2628,55494220,30,1,Dealer,Logistics,Pune,Maharashtra,West,1499843.7837837837,71.02702702702703,0.21807428745069038,Medium Value,0.002180742874506904,0.38613395092766245
