so_id,order_quantity,order_line_count,order_sales_value,unique_products,order_value_category
SO-113694,68,7,3288270.0,6,Very High
SO-113709,89,7,1421178.2,6,Very High
SO-113739,64,6,2683883.2,5,Very High
SO-113760,81,7,2896724.8,6,Very High
SO-113805,69,8,766733.8,7,Very High
SO-113834,9,2,361918.0,2,Very High
SO-113873,60,7,879973.6,7,Very High
SO-113928,141,12,2030981.0,10,Very High
SO-113956,98,11,1085953.4,8,Very High
SO-113960,92,10,1196610.0,9,Very High
SO-113975,34,2,2914435.0,2,Very High
SO-113977,155,11,3941075.0,10,Very High
SO-114001,131,10,4385167.2,10,Very High
SO-114163,44,3,59259.6,2,Very High
SO-114166,99,7,829560.6,6,Very High
SO-114173,119,11,2092592.2,10,Very High
SO-114181,15,2,196416.0,2,Very High
SO-114274,115,9,4086249.2,9,Very High
SO-114337,40,3,807076.0,3,Very High
SO-114395,162,11,2685679.0,10,Very High
SO-114435,143,11,1934995.4,9,Very High
SO-114473,12,2,68352.0,2,Very High
SO-114513,93,8,2996086.8,7,Very High
SO-114599,11,1,132396.0,1,Very High
SO-114724,129,11,4680694.8,9,Very High
SO-114754,88,8,2284856.4,8,Very High
SO-114798,84,7,3671168.0,6,Very High
SO-114830,92,8,4340822.0,6,Very High
SO-114852,104,10,3529363.1999999997,9,Very High
SO-114882,91,7,2136037.0,6,Very High
SO-114887,92,12,2356632.8,11,Very High
SO-114918,79,8,2708351.0,8,Very High
SO-115169,110,9,3847751.0,7,Very High
SO-115288,30,2,3555840.0,2,Very High
SO-115320,71,9,670179.2,8,Very High
SO-115469,36,5,1682714.0,5,Very High
SO-115474,76,7,1913613.0,6,Very High
SO-115513,89,8,1374166.0,8,Very High
SO-115564,38,5,422873.6,4,Very High
SO-115572,83,9,1804918.0,7,Very High
SO-115580,31,3,720794.0,3,Very High
SO-115725,121,11,1266748.0,9,Very High
SO-115727,74,9,1725733.0,9,Very High
SO-115889,105,12,4372667.0,10,Very High
SO-115911,59,7,1482047.0,7,Very High
SO-115995,5,1,223360.0,1,Very High
SO-116031,150,11,1890402.8,10,Very High
SO-116096,119,12,3442787.4,10,Very High
SO-116265,98,12,1064722.6,9,Very High
SO-116328,32,4,2531924.0,4,Very High
SO-116442,115,11,1863997.4,8,Very High
SO-116443,117,10,3254163.2,8,Very High
SO-116490,61,7,682155.0,7,Very High
SO-116508,47,8,2457467.2,8,Very High
SO-116512,141,12,3823553.0,11,Very High
SO-116524,6,1,8850.0,1,Medium
SO-116545,166,12,3124868.6,10,Very High
SO-116607,61,4,1442109.0,4,Very High
SO-116710,117,9,3532311.2,9,Very High
SO-116751,16,2,550809.0,2,Very High
SO-116778,49,3,1027197.0,3,Very High
SO-116845,39,5,306204.2,4,Very High
SO-116893,35,3,362975.0,3,Very High
SO-116960,16,2,344640.0,2,Very High
SO-117016,108,9,1830795.6,8,Very High
SO-117031,118,11,4521880.8,9,Very High
SO-117035,73,7,1679382.2,7,Very High
SO-117074,32,2,692224.0,1,Very High
SO-117100,31,3,58450.0,3,Very High
SO-117106,70,5,183785.0,5,Very High
SO-117146,63,7,1569305.5999999999,6,Very High
SO-117190,101,8,2081934.4,6,Very High
SO-117341,31,2,38161.2,2,High
SO-117421,61,6,1338209.0,6,Very High
SO-117429,66,7,698240.0,7,Very High
SO-117514,57,5,1686336.0,4,Very High
SO-117570,59,6,962482.8,5,Very High
SO-117613,56,8,824297.6,8,Very High
SO-117660,37,2,2268032.0,2,Very High
SO-117680,72,6,1684618.4,6,Very High
SO-117794,139,11,3666924.4,11,Very High
SO-117802,103,10,1874456.0,9,Very High
SO-117855,36,4,77596.8,4,Very High
SO-117880,65,5,2374720.0,5,Very High
SO-117929,85,8,753497.0,7,Very High
SO-117950,136,9,2685829.6,7,Very High
SO-117981,45,3,1019023.6,3,Very High
SO-118081,31,3,169542.4,3,Very High
SO-118123,19,1,205504.0,1,Very High
SO-118154,21,3,298036.8,3,Very High
SO-118259,10,1,108160.0,1,Very High
SO-118270,106,12,1220907.0,7,Very High
SO-118279,83,9,1172108.8,9,Very High
SO-118409,107,9,5734866.2,9,Very High
SO-118432,74,6,2956858.0,6,Very High
SO-118477,119,11,2532264.0,11,Very High
SO-118549,37,3,354221.4,3,Very High
SO-118561,4,1,52736.0,1,Very High
SO-118619,33,4,376590.0,4,Very High
SO-118665,43,5,178667.8,5,Very High
SO-118713,110,8,947025.0,7,Very High
SO-118725,98,9,2970498.6,8,Very High
SO-118727,95,7,2793988.6,7,Very High
SO-118742,140,12,2197291.0,9,Very High
SO-118808,120,12,2339101.8,10,Very High
SO-118989,25,3,438811.0,3,Very High
SO-119071,37,4,1108205.6,4,Very High
SO-119146,109,8,3337859.0,7,Very High
SO-119183,113,10,2013106.6,10,Very High
SO-119200,122,12,3007181.4,10,Very High
SO-119229,127,11,5331467.6,9,Very High
SO-119248,24,3,1043352.0,3,Very High
SO-119272,70,8,1688069.0,8,Very High
SO-119292,109,9,1299954.8,8,Very High
SO-119322,56,8,2493409.6,7,Very High
SO-119337,175,12,3589486.6,9,Very High
SO-119391,58,4,519000.0,4,Very High
SO-119449,72,7,3363251.4,5,Very High
SO-119515,82,8,1277325.0,8,Very High
SO-119539,149,11,2535105.2,9,Very High
SO-119560,57,7,1090448.4,7,Very High
SO-119584,136,11,2264235.6,10,Very High
SO-119622,41,3,1259392.0,3,Very High
SO-119631,13,3,427904.0,3,Very High
SO-119636,15,1,529920.0,1,Very High
SO-119672,116,11,3587204.8,9,Very High
SO-119776,49,3,2836544.0,3,Very High
SO-119786,89,9,2930159.0,8,Very High
SO-119789,89,8,1504366.6,7,Very High
SO-119816,34,3,1227520.0,3,Very High
SO-119880,81,8,1032987.0,6,Very High
SO-119892,84,9,1003133.0,8,Very High
SO-120032,41,5,417833.4,5,Very High
SO-120037,132,10,4982770.6,8,Very High
SO-120127,121,10,2139900.0,9,Very High
SO-120132,41,4,1435030.4,4,Very High
SO-120182,138,12,6065264.0,10,Very High
SO-120236,82,9,1248043.8,6,Very High
SO-120243,11,3,12083.2,3,High
SO-120260,28,2,589232.0,2,Very High
SO-120286,100,9,3981013.4,8,Very High
SO-120300,137,12,3367655.4,11,Very High
SO-120316,91,8,2684723.0,6,Very High
SO-120318,42,5,1697648.0,5,Very High
SO-120335,65,7,1845839.0,6,Very High
SO-120358,89,10,2087981.6,8,Very High
SO-120376,5,1,15680.0,1,High
SO-120419,69,6,805841.6,5,Very High
SO-120433,56,5,2272497.6,5,Very High
SO-120435,37,4,988942.0,4,Very High
SO-120544,55,5,3582208.4,4,Very High
SO-120723,126,12,990837.0,10,Very High
SO-120797,12,2,123928.0,2,Very High
SO-120880,20,2,90314.6,2,Very High
SO-120883,75,6,2008842.4,4,Very High
SO-120904,75,9,2676564.1999999997,9,Very High
SO-120948,76,10,855183.4,8,Very High
SO-120957,22,2,317952.0,2,Very High
SO-120959,114,10,5123606.4,9,Very High
SO-121099,21,4,663872.0,4,Very High
SO-121119,55,4,1324831.0,4,Very High
SO-121132,136,10,3337623.0,6,Very High
SO-121134,94,8,4440098.6,8,Very High
SO-121249,75,7,2386196.0,6,Very High
SO-121311,30,6,537633.0,5,Very High
SO-121319,75,7,772281.4,7,Very High
SO-121329,35,4,683278.0,2,Very High
SO-121367,46,5,2202877.0,5,Very High
SO-121402,64,9,2079833.8,8,Very High
SO-121403,53,4,100288.2,4,Very High
SO-121429,43,4,123286.4,4,Very High
SO-121475,94,10,1447667.0,8,Very High
SO-121586,26,3,302676.0,3,Very High
SO-121609,115,9,2066004.0,8,Very High
SO-121656,32,3,217265.0,3,Very High
SO-121695,95,7,1977782.8,6,Very High
SO-121765,86,8,1227848.6,7,Very High
SO-121806,61,5,2855040.0,3,Very High
SO-121845,88,9,1450675.2,8,Very High
SO-121881,35,4,198651.4,4,Very High
SO-121887,71,6,346497.60000000003,5,Very High
SO-121896,25,3,245725.6,3,Very High
SO-121906,7,1,100352.0,1,Very High
SO-121915,44,6,502368.4,6,Very High
SO-121920,73,6,1811306.6,6,Very High
SO-122007,90,10,1402827.0,10,Very High
SO-122063,95,7,3535608.2,5,Very High
SO-122091,38,3,403740.0,3,Very High
SO-122117,68,5,2674128.6,5,Very High
SO-122172,40,4,1042816.0,4,Very High
SO-122260,51,5,815211.2,5,Very High
SO-122401,82,10,830161.2,8,Very High
SO-122411,101,8,5479242.0,6,Very High
SO-122476,10,1,5664.0,1,Medium
SO-122494,66,7,429900.8,6,Very High
SO-122544,88,10,2330118.0,9,Very High
SO-122593,128,9,3447116.4,8,Very High
SO-122598,125,11,4770698.4,9,Very High
SO-122604,110,11,906839.6,8,Very High
SO-122652,15,1,25665.0,1,High
SO-122695,104,12,557832.2,10,Very High
SO-122718,52,6,720819.0,6,Very High
SO-122791,28,2,364324.8,2,Very High
SO-122835,4,2,14089.2,2,High
SO-122874,37,5,483132.0,4,Very High
SO-122960,65,5,1688463.6,4,Very High
SO-122980,111,11,1979197.0,9,Very High
SO-122982,7,1,64841.0,1,Very High
SO-122999,136,12,5495656.2,11,Very High
SO-123071,69,5,2698904.0,5,Very High
SO-123075,103,7,1310344.0,5,Very High
SO-123147,64,6,331116.2,5,Very High
SO-123148,48,5,2070121.0,5,Very High
SO-123209,32,5,3102080.0,5,Very High
SO-123219,111,11,2465407.0,8,Very High
SO-123244,9,2,571392.0,2,Very High
SO-123266,43,6,1392567.2,6,Very High
SO-123304,109,9,4561876.0,8,Very High
SO-123442,51,4,1926631.0,4,Very High
SO-123470,160,11,2129687.0,10,Very High
SO-123554,40,4,647535.0,4,Very High
SO-123580,76,10,1232701.0,8,Very High
SO-123624,88,9,1344725.6,7,Very High
SO-123684,46,5,949909.0,4,Very High
SO-123720,102,8,3083739.2,6,Very High
SO-123726,103,9,1138223.8,8,Very High
SO-123733,140,10,6056371.4,10,Very High
SO-123815,141,11,1012107.6,10,Very High
SO-123912,60,6,902163.0,6,Very High
SO-123956,63,7,3230786.0,6,Very High
SO-123960,58,7,1317100.2,7,Very High
SO-124011,112,11,1764170.0,11,Very High
SO-124039,137,11,3783892.8,11,Very High
SO-124088,11,1,650496.0,1,Very High
SO-124132,166,10,1460944.0,9,Very High
SO-124262,19,1,25783.0,1,High
SO-124263,131,12,3953310.2,11,Very High
SO-124267,96,8,2557896.0,7,Very High
SO-124275,72,7,630760.8,5,Very High
SO-124322,113,11,2928532.0,8,Very High
SO-124331,68,5,2338902.0,5,Very High
SO-124351,30,2,840960.0,1,Very High
SO-124382,60,7,464457.8,7,Very High
SO-124384,64,7,842786.8,7,Very High
SO-124399,73,8,1090812.6,7,Very High
SO-124450,108,8,3764861.2,8,Very High
SO-124473,70,12,2642163.0,7,Very High
SO-124559,47,4,824572.6,4,Very High
SO-124584,9,1,130176.0,1,Very High
SO-124618,11,2,1191680.0,2,Very High
SO-124750,23,3,276545.0,2,Very High
SO-124757,30,2,897098.0,2,Very High
SO-124778,122,8,2406166.4,8,Very High
SO-124834,49,4,1051495.2,4,Very High
SO-124840,47,5,892324.6,5,Very High
SO-124872,114,9,1407213.8,9,Very High
SO-124879,34,3,592368.0,3,Very High
SO-124899,37,4,3072367.0,4,Very High
SO-124932,33,4,911125.0,4,Very High
SO-124947,108,9,2033062.4,7,Very High
SO-124990,25,2,317000.0,2,Very High
SO-125079,81,10,2696117.0,10,Very High
SO-125166,15,1,286080.0,1,Very High
SO-125198,71,7,1741351.4,7,Very High
SO-125262,56,5,1369192.0,4,Very High
SO-125263,91,10,1736222.2,9,Very High
SO-125289,96,9,3198887.0,7,Very High
SO-125301,21,2,104592.0,2,Very High
SO-125358,54,5,1216877.8,5,Very High
SO-125371,120,9,3151662.4,7,Very High
SO-125430,26,4,203913.0,4,Very High
SO-125473,30,3,323538.0,3,Very High
SO-125514,59,7,2120448.0,6,Very High
SO-125524,147,12,5860772.2,10,Very High
SO-125525,55,6,1818271.0,5,Very High
SO-125687,13,2,48564.0,2,High
SO-125722,46,4,358456.8,4,Very High
SO-125744,13,2,16425.6,2,High
SO-125785,115,12,1076113.2,11,Very High
SO-125836,112,10,2049298.4,7,Very High
SO-125885,122,10,1344745.8,8,Very High
SO-125921,104,10,3844106.8000000003,9,Very High
SO-125999,83,11,1939471.8,10,Very High
SO-126028,35,5,143433.4,5,Very High
SO-126046,59,6,522892.8,6,Very High
SO-126063,13,1,11044.8,1,High
SO-126067,126,10,5690555.2,9,Very High
SO-126069,30,2,721310.0,2,Very High
SO-126151,129,10,3492857.6,9,Very High
SO-126167,29,2,1035968.0,2,Very High
SO-126262,81,8,3738473.4,7,Very High
SO-126286,97,9,2332940.6,7,Very High
SO-126327,28,4,1170198.0,4,Very High
SO-126329,84,6,1059898.0,5,Very High
SO-126356,45,6,296668.8,6,Very High
SO-126408,48,5,466160.2,5,Very High
SO-126413,90,8,3483235.0,6,Very High
SO-126464,65,8,428329.6,7,Very High
SO-126470,85,7,304199.2,7,Very High
SO-126523,62,6,1847609.0,6,Very High
SO-126525,108,9,3479935.6,9,Very High
SO-126579,60,4,1796864.0,4,Very High
SO-126589,5,1,72320.0,1,Very High
SO-126603,123,9,1283188.0,8,Very High
SO-126640,2,1,304640.0,1,Very High
SO-126644,35,5,1170040.0,5,Very High
SO-126691,142,12,3893629.0,11,Very High
SO-126769,34,2,514393.6,2,Very High
SO-126839,47,7,817818.0,7,Very High
SO-126842,60,6,1854160.0,6,Very High
SO-126876,60,5,380881.80000000005,5,Very High
SO-126946,146,12,1777323.2,9,Very High
SO-126963,101,8,4247052.4,8,Very High
SO-127001,119,10,2978610.0,10,Very High
SO-127087,122,11,1433858.8,10,Very High
SO-127142,34,4,935856.0,4,Very High
SO-127160,132,9,2904960.0,7,Very High
SO-127193,81,12,836553.2000000001,9,Very High
SO-127237,32,2,439808.0,2,Very High
SO-127258,72,7,2138611.2,7,Very High
SO-127311,59,6,857973.8,6,Very High
SO-127314,61,6,611419.0,6,Very High
SO-127336,92,9,1851256.0,6,Very High
SO-127497,53,5,845306.4,5,Very High
SO-127565,11,1,157696.0,1,Very High
SO-127610,56,6,985997.2,6,Very High
SO-127664,150,12,2516441.0,10,Very High
SO-127671,82,9,2125509.4,8,Very High
SO-127675,101,10,1133838.4,9,Very High
SO-127697,65,6,1218676.6,5,Very High
SO-127731,111,9,2436408.2,7,Very High
SO-127751,70,5,970110.4,5,Very High
SO-127769,69,5,758827.0,5,Very High
SO-127785,87,9,3165464.0,8,Very High
SO-127837,100,9,2244701.6,8,Very High
SO-127924,79,9,1138104.2,8,Very High
SO-127960,52,5,1646720.0,5,Very High
SO-127973,5,2,3304.0,2,Low
SO-127982,30,4,1560090.0,3,Very High
SO-128017,86,10,581475.8,10,Very High
SO-128050,41,4,711534.0,4,Very High
SO-128090,30,3,746624.0,3,Very High
SO-128131,71,6,5128461.0,5,Very High
SO-128231,97,9,977565.0,8,Very High
SO-128291,72,6,1442096.0,6,Very High
SO-128301,91,10,3106756.2,9,Very High
SO-128325,69,6,833017.0,5,Very High
SO-128350,42,5,365480.2,4,Very High
SO-128409,101,11,1752492.4,10,Very High
SO-128488,34,2,21995.199999999997,2,High
SO-128533,18,2,367744.0,2,Very High
SO-128568,43,4,1242506.6,4,Very High
