customer_id,customer_total_sales,customer_total_orders,customer_total_quantity,customer_unique_products
C0226,49907828.2,28,2327,30
C0227,65155178.8,39,2412,30
C0228,65812402.2,36,2375,30
C0229,46111656.0,29,1653,30
C0230,68274085.2,41,3170,30
C0231,66737768.0,39,2916,30
C0232,62766339.2,41,2856,30
C0233,54215650.4,34,2463,30
C0234,80621425.6,33,2845,30
C0235,67658054.0,43,2933,30
C0236,70995165.6,47,2825,30
C0237,76179786.8,46,2776,30
C0238,39369812.4,32,1995,30
C0239,55722404.6,38,2334,30
C0240,104286776.8,50,3799,30
C0241,90825382.8,46,3441,30
C0242,77418552.4,50,3189,30
C0243,50637406.0,34,2421,30
C0244,82751848.8,48,3292,30
C0245,59459217.6,37,2417,30
C0246,78316881.4,37,2548,30
C0247,71151399.8,42,2998,30
C0248,45208412.0,30,1809,30
C0249,67200206.8,40,2725,30
C0250,80665961.2,45,3308,30
C0251,63937240.8,39,2446,30
C0252,50788059.0,38,2324,30
C0253,75155616.4,40,3155,30
C0254,96361380.0,52,3634,30
C0255,76546128.2,49,3492,30
C0256,63561255.0,34,2639,30
C0257,76640757.4,45,3363,30
C0258,69315386.0,31,2559,30
C0259,66515887.2,37,2602,30
C0260,66249877.0,38,2743,30
C0261,73371667.4,40,3010,30
C0262,48644883.2,30,2116,30
C0263,70309921.0,40,2906,30
C0264,72106046.6,39,2551,30
C0265,56239915.0,33,2390,30
C0266,59493819.2,37,2667,30
C0267,49252642.4,33,2205,30
C0268,69239445.0,37,2712,30
C0269,74531970.2,48,3360,30
C0270,73637293.4,46,3044,30
C0271,43599972.6,28,1929,29
C0272,82042535.4,43,3277,30
C0273,64620418.2,40,2755,30
C0274,64071466.6,42,2573,30
C0275,66880783.6,47,2920,30
C0276,79846720.4,49,3459,30
C0277,45731394.2,38,2337,30
C0278,59961056.4,45,3072,30
C0279,38851894.0,28,2104,30
C0280,64583738.6,47,3026,30
C0281,52632947.4,31,2247,30
C0282,78317730.4,51,3781,30
C0283,46063181.6,33,2160,30
C0284,78191857.0,45,3369,30
C0285,57166086.6,51,2931,30
C0286,64515433.4,39,2975,30
C0287,55179366.6,36,2332,30
C0288,107119652.2,63,4626,30
C0289,57538580.4,40,2569,30
C0290,66221482.2,46,2872,30
C0291,93293350.4,54,3766,30
C0292,39031937.8,31,1714,30
C0293,73130661.4,42,3173,30
C0294,88081900.8,51,4025,30
C0295,80533744.6,46,3270,30
C0296,59283432.8,41,2593,30
C0297,79590004.4,39,3033,30
C0298,54524918.8,37,2423,30
C0299,53895506.2,37,2565,30
C0300,77188710.6,44,3058,30
C0301,64808979.2,47,2645,30
C0302,66273983.0,42,2575,30
C0303,38889030.8,31,1997,30
C0304,91211305.8,51,3790,30
C0305,52766904.8,33,2044,30
C0306,72686638.2,47,2868,30
C0307,87787133.2,48,3291,30
C0308,53708429.6,36,2371,30
C0309,38759244.8,32,1893,30
C0310,65486421.4,41,2987,30
C0311,78976613.2,46,3214,30
C0312,67470700.2,40,2866,30
C0313,53136931.2,32,2205,30
C0314,69465050.8,45,2829,30
C0315,63797282.4,42,2834,30
C0316,51245092.4,38,2180,30
C0317,52093578.6,38,2529,30
C0318,74022907.8,41,2957,30
C0319,69856429.4,37,2936,30
C0320,54602363.0,35,2146,30
C0321,62032369.0,42,2813,30
C0322,41492290.0,29,1995,30
C0323,57786002.2,40,2573,30
C0324,55237914.6,38,2585,30
C0325,56775486.8,33,1858,30
C0326,70540745.6,47,3035,30
C0327,62303773.6,45,2718,30
C0328,68279316.4,40,2732,30
C0329,64307436.8,36,2480,30
C0330,58287142.6,41,2863,30
C0331,69377141.2,44,3434,30
C0332,52716408.8,39,2412,30
C0333,66085313.2,42,2957,30
C0334,43977096.8,37,2057,30
C0335,67074367.8,43,3174,30
C0336,45959667.0,39,2261,30
C0337,74236665.0,35,2775,30
C0338,54984288.4,38,2320,30
C0339,52031024.0,27,1972,30
C0340,70311394.8,39,2785,30
C0341,70851281.4,38,2834,30
C0342,100153639.6,44,3725,30
C0343,75493416.4,45,2906,30
C0344,50089886.6,30,2125,30
C0345,56899456.6,44,2735,30
C0346,54686860.8,39,2411,30
C0347,29076137.0,27,1584,30
C0348,55466523.4,35,2618,30
C0349,65933267.4,36,2751,30
C0350,49779071.0,37,2189,30
C0351,48026434.2,38,2488,30
C0352,53320209.4,37,2463,30
C0353,35859534.8,30,1935,30
C0354,62107608.0,41,2800,30
C0355,73634372.6,40,2851,30
C0356,79690881.0,45,3218,30
C0357,61407267.4,32,2173,30
C0358,68550380.4,40,2669,30
C0359,99895983.4,52,3851,30
C0360,60127880.8,34,2454,30
C0361,58802186.0,35,2366,30
C0362,57018296.0,42,2667,30
C0363,64018233.4,37,2801,30
C0364,61474010.8,38,2656,30
C0365,66847837.2,47,3234,30
C0366,46920707.6,30,1771,30
C0367,61649463.4,31,2403,30
C0368,54132389.8,33,2185,30
C0369,76487726.6,46,3047,30
C0370,58581481.2,41,2621,30
C0371,91039744.6,51,3092,30
C0372,53251324.8,37,2270,30
C0373,77626618.6,43,3071,30
C0374,74514218.8,46,3203,30
C0375,83627577.8,44,3155,30
C0376,62674127.8,35,2814,30
C0377,72235206.4,40,2878,30
C0378,62811212.6,42,2762,30
C0379,66830982.6,44,3010,30
C0380,91048215.0,58,4063,30
C0381,68417032.8,34,2374,30
C0382,50583035.6,37,2710,30
C0383,71832906.0,43,2872,30
C0384,81888155.8,42,3384,30
C0385,76626473.0,42,2949,30
C0386,53754976.6,38,2488,30
C0387,55063811.6,38,2894,30
C0388,53499029.0,34,2182,30
C0389,56596362.6,33,2232,30
C0390,67178497.6,35,2582,30
C0391,54227537.6,35,2274,30
C0392,47369152.4,34,1945,30
C0393,57683779.4,42,2367,30
C0394,84930805.8,46,3405,30
C0395,64514679.8,44,2938,30
C0396,67383019.2,40,2897,30
C0397,60279612.2,41,2720,30
C0398,68352134.0,43,3153,30
C0399,62998360.6,42,2656,30
C0400,53789410.8,38,2330,30
C0401,61848709.2,38,2505,30
C0402,51082966.6,39,2501,30
C0403,85078442.8,49,3658,30
C0404,57215502.0,35,2374,30
C0405,56480507.0,37,2259,30
C0406,70714584.6,37,2628,30
C0407,65695217.4,43,2773,30
C0408,69586523.2,39,2900,30
C0409,60821412.6,45,2971,30
C0410,62834152.6,42,2714,30
C0411,77930913.2,46,3012,30
C0412,49251584.6,37,2070,30
C0413,69429652.6,46,3109,30
C0414,69142464.4,44,2672,30
C0415,73386860.0,36,3025,30
C0416,53927329.4,43,2911,30
C0417,56892210.6,36,2290,30
C0418,49957660.0,32,2243,30
C0419,63139736.8,34,2293,30
C0420,105420085.2,54,4133,30
C0421,88158611.2,45,3405,30
C0422,78729224.2,44,3019,30
C0423,55793317.0,35,2455,30
C0424,63757994.8,38,3059,30
C0425,73307047.0,44,2773,30
C0426,60676762.6,40,2623,30
C0427,60390081.4,46,2646,30
C0428,72557852.6,45,3061,30
C0429,71560643.6,44,2856,30
C0430,47869210.4,29,2199,30
C0431,50133961.8,31,2010,30
C0432,55153813.4,41,2547,30
C0433,65222517.6,38,3012,30
C0434,54780833.4,35,2174,30
C0435,84330852.8,57,3742,30
C0436,63326538.6,38,2905,30
C0437,49034632.4,32,2097,30
C0438,67257764.0,45,3016,30
C0439,63476155.8,43,2755,30
C0440,86507191.8,47,3555,30
C0441,52770182.0,35,2635,30
C0442,60326225.8,36,2373,30
C0443,66704165.0,43,2920,30
C0444,59419781.4,35,2853,30
C0445,62230426.6,30,2285,30
C0446,55273239.8,36,2401,30
C0447,74979355.4,39,3115,30
C0448,68537789.4,37,2535,30
C0449,63310212.0,37,2543,30
C0450,62233287.4,43,2678,30
C0451,52353064.4,42,2397,30
C0452,50797162.6,42,2639,30
C0453,65818457.0,36,2909,30
C0454,46799854.2,37,2154,30
C0455,73447442.0,40,2848,30
C0456,34272135.8,29,1677,30
C0457,61313002.6,35,2723,30
C0458,61418386.0,43,2970,30
C0459,79388823.0,45,3116,30
C0460,72367400.6,36,2905,30
C0461,71054553.4,42,3079,30
C0462,92177113.6,52,3826,30
C0463,58325024.0,36,2670,30
C0464,67409135.2,39,2845,30
C0465,54021591.4,39,2713,30
C0466,99913868.2,52,3880,30
C0467,67788106.8,55,2898,30
C0468,89417777.4,56,3955,30
C0469,71372672.2,44,3044,30
C0470,54364363.0,44,2622,30
C0471,74383440.6,42,3064,30
C0472,58343752.4,37,2818,30
C0473,51561279.0,31,2056,30
C0474,53742284.8,35,2257,30
C0475,97922412.6,58,4343,30
C0476,84202311.6,38,2530,30
C0477,57871728.4,37,2745,30
C0478,79015238.4,47,3323,30
C0479,39881485.2,29,1874,30
C0480,58091138.8,37,2491,30
C0481,61067778.2,40,2894,30
C0482,81628023.2,36,2843,30
C0483,108672502.0,53,3846,30
C0484,53367824.4,31,2368,30
C0485,66922042.0,34,2620,30
C0486,68491843.6,42,3174,30
C0487,46208581.6,31,1910,30
C0488,74510940.6,40,3168,30
C0489,78799228.8,51,3366,30
C0490,93900425.2,50,4114,30
C0491,78280966.4,32,2861,30
C0492,65225924.2,37,2768,30
C0493,67033833.2,45,3145,30
C0494,48287535.6,32,2140,30
C0495,105717422.2,52,3819,30
C0496,63706971.4,41,2547,30
C0497,54198333.6,33,2411,30
C0498,66413930.8,30,2160,30
C0499,72950313.2,44,2851,30
C0500,46749033.2,29,2099,30
